Cep,Logradouro,Numero,Bairro,Cod Cidade,Cod Estado
1013911,Rua Quinze de Novembro 228,,Centro,8966,26
1013913,Rua Quinze de Novembro 269,,Centro,8966,26
1013914,Rua Quinze de Novembro 233,,Centro,8966,26
1013915,Rua Quinze de Novembro 212,,Centro,8966,26
1014000,Rua Boa Vista,- lado par,Centro,8966,26
1014010,Rua João Brícola,,Centro,8966,26
1014020,Rua Três de Dezembro,,Centro,8966,26
1014030,Viaduto Boa Vista,,Centro,8966,26
1014900,Rua João Brícola 24,,Centro,8966,26
1014901,Rua Boa Vista 84,,Centro,8966,26
1014902,Rua Boa Vista 162,,Centro,8966,26
1014903,Rua Boa Vista 200,,Centro,8966,26
1014905,Rua Boa Vista 234,,Centro,8966,26
1014906,Rua Boa Vista 230,,Centro,8966,26
1014907,Rua Boa Vista 254,,Centro,8966,26
1014908,Rua Boa Vista 280,,Centro,8966,26
1014909,Rua Boa Vista 314,,Centro,8966,26
1014910,Rua Boa Vista 356,,Centro,8966,26
1014911,Rua Boa Vista 51,,Centro,8966,26
1014912,Rua Boa Vista 75,,Centro,8966,26
1014913,Rua Boa Vista 185,,Centro,8966,26
1014914,Rua Boa Vista 209,,Centro,8966,26
1014915,Rua Boa Vista 293,,Centro,8966,26
1014916,Rua João Brícola 37,,Centro,8966,26
1014917,Rua João Brícola 67,,Centro,8966,26
1014919,Rua Boa Vista 176,,Centro,8966,26
1014920,Rua Boa Vista 175,,Centro,8966,26
1014925,Rua Boa Vista 162,,Centro,8966,26
1014930,Rua Boa Vista 170,,Centro,8966,26
1014940,Rua Boa Vista 84,,Centro,8966,26
1014970,Rua Boa Vista 88 Loja 2 Térreo,,Centro,8966,26
1015000,Rua General Carneiro,,Centro,8966,26
1015010,Praça Padre Manuel da Nóbrega,,Centro,8966,26
1015020,Praça Fernando Costa,,Centro,8966,26
1015030,Rua São Nicolau,,Centro,8966,26
1015040,Rua Maria Benedita,,Centro,8966,26
1015050,Rua Luís Teixeira,,Centro,8966,26
1015060,Rua Hércules Florence,,Centro,8966,26
1015080,Rua Fernão Sales,,Centro,8966,26
1015090,Viaduto Diario Popular,,Centro,8966,26
1015100,Avenida Exterior,,Centro,8966,26
1015900,Praça Padre Manuel da Nóbrega 16,,Centro,8966,26
1016000,Rua Venceslau Brás,,Centro,8966,26
1016010,Rua Irmã Simpliciana,,Centro,8966,26
1016020,Rua Santa Teresa,,Centro,8966,26
1016030,Rua Anchieta,,Sé,8966,26
1016040,Largo Pátio do Colégio,,Sé,8966,26
1016050,Rua Floriano Peixoto,,Sé,8966,26
1017000,Avenida Rangel Pestana,- até 499/500,Brás,8966,26
1017010,Rua Doutor Bettencourt Rodrigues,,Sé,8966,26
1017030,Viaduto Mercúrio,,Sé,8966,26
1017040,Viaduto Vinte e Cinco de Março,,Sé,8966,26
1017902,Rua Roberto Simonsen 62,,Sé,8966,26
1017903,Rua Roberto Simonsen 106,,Sé,8966,26
1017904,Avenida Rangel Pestana 203,,Sé,8966,26
1017905,Avenida Rangel Pestana 243,,Sé,8966,26
1017906,Avenida Rangel Pestana 315,,Sé,8966,26
1017907,Rua Doutor Bettencourt Rodrigues 88,,Sé,8966,26
1017908,Rua Doutor Bettencourt Rodrigues 112,,Sé,8966,26
1017909,Rua Doutor Bettencourt Rodrigues 155,,Sé,8966,26
1017910,Rua Doutor Bettencourt Rodrigues 196,,Sé,8966,26
1017911,Avenida Rangel Pestana 300,,Sé,8966,26
1017970,Avenida Rangel Pestana 300 Térreo,,Sé,8966,26
1018000,Praça Clóvis Beviláqua,- lado par,Sé,8966,26
1018001,Praça Clóvis Beviláqua,- lado ímpar,Sé,8966,26
1018010,Rua Onze de Agosto,,Sé,8966,26
1018020,Rua Anita Garibaldi,,Sé,8966,26
1019000,Rua Silveira Martins,,Sé,8966,26
1019010,Rua das Flores,,Sé,8966,26
1019020,Rua do Carmo,,Sé,8966,26
1019030,Rua Joaquim dos Santos Andrade,,Sé,8966,26
1019040,Rua Alcides Bezerra,,Sé,8966,26
1019900,Rua do Carmo 171,,Sé,8966,26
1020000,Rua Tabatinguera,- lado par,Sé,8966,26
1020001,Rua Tabatinguera,- lado ímpar,Sé,8966,26
1020010,Rua das Carmelitas,,Sé,8966,26
1020020,Rua Nioac,,Sé,8966,26
1020030,Rua Frederico Alvarenga,,Sé,8966,26
1020040,Rua Lousada,,Sé,8966,26
1020050,Rua Alexandria,,Sé,8966,26
1020900,Rua Tabatinguera 93,,Sé,8966,26
1020901,Rua Tabatinguera 140,,Sé,8966,26
1020902,Rua Tabatinguera 167,,Sé,8966,26
1020903,Rua Tabatinguera 294,,Sé,8966,26
1020904,Rua Tabatinguera 340,,Sé,8966,26
1021000,Rua Vinte e Cinco de Março,- até 549/550,Centro,8966,26
1021100,Rua Vinte e Cinco de Março,- de 552 ao fim - lado par,Centro,8966,26
1021200,Rua Vinte e Cinco de Março,- de 551 ao fim - lado ímpar,Centro,8966,26
1021900,Rua Vinte e Cinco de Março 641,,Centro,8966,26
1021901,Rua Vinte e Cinco de Março 904,,Centro,8966,26
1021902,Rua Vinte e Cinco de Março 990,,Centro,8966,26
1021903,Rua Vinte e Cinco de Março 1003,,Centro,8966,26
1022000,Ladeira Porto Geral,,Centro,8966,26
1022010,Rua Varnhagen,,Centro,8966,26
1022020,Rua Cavalheiro Basílio Jafet,,Centro,8966,26
1022030,Rua Jorge Azem,,Centro,8966,26
1022040,Praça Ragueb Chohfi,,Centro,8966,26
1022050,Parque Dom Pedro II,- até 500 - lado par,Centro,8966,26
1022060,Rua Doutor Itapura de Miranda,,Centro,8966,26
1022070,Rua Comendador Assad Abdalla,,Centro,8966,26
1022970,Rua Cavalheiro Basílio Jafet 191,,Centro,8966,26
1023000,Rua Barão de Duprat,- lado par,Centro,8966,26
1023001,Rua Barão de Duprat,- lado ímpar,Centro,8966,26
1023010,Rua Miguel Carlos,,Centro,8966,26
1023020,Rua Ilha das Flores,,Centro,8966,26
1023030,Rua Serop Kherlakian,,Centro,8966,26
1023040,Rua Comendador Afonso Kherlakian,,Centro,8966,26
1023050,Rua Comendador Abdo Schahin,,Centro,8966,26
1023060,Rua Lucrécia Leme,,Centro,8966,26
1023070,Rua Virgilina Sales,,Centro,8966,26
1023900,Rua Miguel Carlos 41,,Centro,8966,26
1023902,Rua Barão de Duprat 449,,Centro,8966,26
1023903,Rua Comendador Afonso Kherlakian 79,,Centro,8966,26
1023904,Rua Comendador Abdo Schahin 13,,Centro,8966,26
1023905,Rua Comendador Abdo Schahin 62,,Centro,8966,26
1023906,Rua Comendador Abdo Schahin 110,,Centro,8966,26
1024000,Rua da Cantareira,- até 800 - lado par,Centro,8966,26
1024100,Rua da Cantareira,- até 801 - lado ímpar,Centro,8966,26
1024900,Rua da Cantareira 306,,Centro,8966,26
1025000,Rua Carlos de Sousa Nazaré,- lado par,Centro,8966,26
1025001,Rua Carlos de Sousa Nazaré,- lado ímpar,Centro,8966,26
1025010,Rua Augusto Severo,,Centro,8966,26
1025020,Avenida do Estado,- de 2602 a 4400 - lado par,Centro,8966,26
1026000,Avenida Senador Queirós,- lado par ,Centro,8966,26
1026001,Avenida Senador Queirós,- lado ímpar,Centro,8966,26
1026010,Avenida Mercúrio,- de 451/452 ao fim,Centro,8966,26
1026900,Avenida Senador Queirós 96,,Centro,8966,26
1026901,Avenida Senador Queirós 279,,Centro,8966,26
1026902,Avenida Senador Queirós 312,,Centro,8966,26
1026903,Avenida Senador Queirós 605,,Centro,8966,26
1026904,Avenida Senador Queirós 667,,Centro,8966,26
1027000,Rua Paula Sousa,- lado par,Centro,8966,26
1027001,Rua Paula Sousa,- lado ímpar,Centro,8966,26
1027010,Rua Plínio Ramos,,Centro,8966,26
1027020,Rua Antônio Pais,,Centro,8966,26
1027030,Vila Santa Clara,,Centro,8966,26
1027040,Vila Bueno,,Centro,8966,26
1027050,Vila Santa Maria,,Centro,8966,26
1027900,Rua Plínio Ramos 50,,Centro,8966,26
1028000,Rua Mauá,,Centro,8966,26
1028010,Viela dos Ingleses,,Centro,8966,26
1028020,Vila Aguiar Andrade,,Centro,8966,26
1028030,Jardim Itu,,Centro,8966,26
1028900,Rua Mauá 51,,Centro,8966,26
1029000,Rua Florêncio de Abreu,- até 399 - lado ímpar,Centro,8966,26
1029001,Rua Florêncio de Abreu,- de 401 ao fim - lado ímpar,Centro,8966,26
1029010,Largo de São Bento,,Centro,8966,26
1029900,Largo de São Bento 64,,Centro,8966,26
1029901,Rua Florêncio de Abreu 157,,Centro,8966,26
1029902,Rua Florêncio de Abreu 623,,Centro,8966,26
1029903,Rua Florêncio de Abreu 643,,Centro,8966,26
1029970,Rua Florêncio de Abreu 591 Térreo,,Centro,8966,26
1030000,Rua Florêncio de Abreu,- até 398 - lado par,Centro,8966,26
1030001,Rua Florêncio de Abreu,- de 400 ao fim - lado par,Centro,8966,26
1030010,Ladeira Constituição,,Centro,8966,26
1030020,Beco da Fábrica,,Centro,8966,26
1030900,Rua Florêncio de Abreu 36,,Centro,8966,26
1030901,Rua Florêncio de Abreu 48,,Centro,8966,26
1030902,Rua Florêncio de Abreu 352,,Centro,8966,26
1031000,Avenida Prestes Maia,- lado par,Centro,8966,26
1031001,Avenida Prestes Maia,- lado ímpar,Centro,8966,26
1031005,Passagem Subterrânea Tom Jobim,,Centro,8966,26
1031010,Rua Dom Francisco de Sousa,,Centro,8966,26
1031020,Rua Doutor Luiz Silveira,,Centro,8966,26
1031030,Praça do Correio,,Centro,8966,26
1031900,Parque Anhangabaú 98 1º Subsolo,,Centro,8966,26
1031901,Avenida Prestes Maia 220,,Centro,8966,26
1031902,Avenida Prestes Maia 241,,Centro,8966,26
1031903,Avenida Prestes Maia 321,,Centro,8966,26
1031904,Avenida Prestes Maia 676,,Centro,8966,26
1031905,Avenida Prestes Maia 733,,Centro,8966,26
1031906,Avenida Prestes Maia 733 1º Andar,,Centro,8966,26
1031970,"Praça do Correio, s/n",,Centro,8966,26
1032001,Rua Brigadeiro Tobias,- de 451/452 ao fim,Centro,8966,26
1032010,Rua Riskallah Jorge,,Centro,8966,26
1032020,Rua Capitão-mor Jerônimo Leitão,,Centro,8966,26
1032030,Praça Pedro Lessa,,Centro,8966,26
1032901,Rua Brigadeiro Tobias 356,,Centro,8966,26
1032902,Rua Brigadeiro Tobias 527,,Centro,8966,26
1032903,Rua Brigadeiro Tobias 577,,Centro,8966,26
1032905,Rua Brigadeiro Tobias 110/118,,Centro,8966,26
1032970,"Praça Pedro Lessa, s/n",,Centro,8966,26
1033000,Avenida Cásper Líbero,- lado par,Centro,8966,26
1033001,Avenida Cásper Líbero,- lado ímpar,Centro,8966,26
1033010,Rua Washington Luís,,Centro,8966,26
1033020,Rua Beneficência Portuguesa,,Centro,8966,26
1033030,Rua Coronel Batista da Luz,,Centro,8966,26
1033040,Praça Alfredo Issa,,Centro,8966,26
1033050,Viaduto Santa Ifigênia,,Centro,8966,26
1033900,Avenida Cásper Líbero 58,,Centro,8966,26
1033901,Avenida Cásper Líbero 134,,Centro,8966,26
1033902,Praça Alfredo Issa 48 9º Andar,,Centro,8966,26
1033903,Avenida Cásper Líbero 383,,Centro,8966,26
1033904,Rua Beneficência Portuguesa 24,,Centro,8966,26
1033905,Rua Beneficência Portuguesa 44,,Centro,8966,26
1033906,Rua Doutor Alfredo Issa 48,,Centro,8966,26
1033907,Viaduto Santa Ifigênia 266,,Centro,8966,26
1034000,Rua Antônio de Godói,- lado par,Centro,8966,26
1034001,Rua Antônio de Godói,- lado ímpar,Centro,8966,26
1034010,Largo do Paissandu,,Centro,8966,26
1034020,Rua Capitão Salomão,,Centro,8966,26
1034030,Rua Abelardo Pinto,,Centro,8966,26
1034900,Largo do Paissandu 51,,Centro,8966,26
1034901,Largo do Paissandu 72,,Centro,8966,26
1034903,Rua Antônio de Godói 122,,Centro,8966,26
1034904,Rua do Seminário 199,,Centro,8966,26
1035000,Avenida São João,- até 649 - lado ímpar,Centro,8966,26
1035100,Avenida São João,- de 651 a 1339 - lado ímpar,República,8966,26
1035901,Avenida São João 439,,Centro,8966,26
1035902,Avenida São João 1151,,Centro,8966,26
1035903,Avenida São João 1333,,Centro,8966,26
1035904,Avenida São João 473,,Centro,8966,26
1035905,Avenida São João 313,,Centro,8966,26
1036000,Avenida São João,- até 648 - lado par,Centro,8966,26
1036100,Avenida São João,- de 650 a 1340 - lado par,República,8966,26
1036900,Avenida São João 32,,Centro,8966,26
1036901,Avenida São João 566,,Centro,8966,26
1036902,Avenida São João 802,,Centro,8966,26
1036903,Avenida São João 1086,,Centro,8966,26
1036970,Avenida São João 250,,Centro,8966,26
1037000,Rua Conselheiro Crispiniano,- lado par,República,8966,26
1037001,Rua Conselheiro Crispiniano,- lado ímpar,República,8966,26
1037010,Praça Ramos de Azevedo,,República,8966,26
1037900,Rua Conselheiro Crispiniano 29,,Centro,8966,26
1037901,Rua Conselheiro Crispiniano 53,,República,8966,26
1037902,Rua Conselheiro Crispiniano 49/57,,República,8966,26
1037903,Rua Conselheiro Crispiniano 40,,Centro,8966,26
1037904,Rua Conselheiro Crispiniano 69,,Centro,8966,26
1037905,Rua Conselheiro Crispiniano 72,,República,8966,26
1037906,Rua Conselheiro Crispiniano 105,,Centro,8966,26
1037907,Rua Conselheiro Crispiniano 139,,Centro,8966,26
1037908,Rua Conselheiro Crispiniano 344,,Centro,8966,26
1037909,Rua Conselheiro Crispiniano 398,,Centro,8966,26
1037910,Praça Ramos de Azevedo 206,,Centro,8966,26
1037911,Praça Ramos de Azevedo 209,,Centro,8966,26
1037912,Praça Ramos de Azevedo 254,,Centro,8966,26
1038000,Rua Dom José de Barros,- lado par,República,8966,26
1038100,Rua Dom José de Barros,- lado ímpar,República,8966,26
1038900,Rua Dom José de Barros 17,,Centro,8966,26
1038901,Rua Dom José de Barros 177,,Centro,8966,26
1038902,Rua Dom José de Barros 152,,Centro,8966,26
1038903,Rua Dom José de Barros 188,,Centro,8966,26
1038904,Rua Dom José de Barros 264,,Centro,8966,26
1039000,Avenida Ipiranga,- de 401 ao fim - lado ímpar,República,8966,26
1039900,Avenida Ipiranga 795,,Centro,8966,26
1039901,Avenida Ipiranga 855,,Centro,8966,26
1039902,Avenida Ipiranga 919,,Centro,8966,26
1039903,Avenida Ipiranga 1071,,Centro,8966,26
1039904,Avenida Ipiranga 1097,,Centro,8966,26
1039905,Avenida Ipiranga 1123,,Centro,8966,26
1039906,Avenida Ipiranga 1251,,Centro,8966,26
1039907,Avenida Ipiranga 1267,,Centro,8966,26
1039908,Rua do Boticário 209,,República,8966,26
1040010,Rua do Boticário,,República,8966,26
1040901,Avenida Ipiranga 890,,Centro,8966,26
1040902,Avenida Ipiranga 978,,Centro,8966,26
1040903,Avenida Ipiranga 1208,,Centro,8966,26
1040904,Avenida Ipiranga 1100,,Centro,8966,26
1040905,Avenida Ipiranga 1284,,Centro,8966,26
1040906,Avenida Ipiranga 952,,República,8966,26
1041000,Rua Vinte e Quatro de Maio,- lado par,República,8966,26
1041001,Rua Vinte e Quatro de Maio,- lado ímpar,República,8966,26
1041900,Rua Vinte e Quatro de Maio 62,,Centro,8966,26
1041901,Rua Vinte e Quatro de Maio 104,,Centro,8966,26
1041903,Rua Vinte e Quatro de Maio 188,,Centro,8966,26
1041904,Rua Vinte e Quatro de Maio 208,,Centro,8966,26
1041905,Rua Vinte e Quatro de Maio 276,,Centro,8966,26
1041906,Rua Vinte e Quatro de Maio 135,,República,8966,26
1041907,Rua Vinte e Quatro de Maio 77,,República,8966,26
1041911,Rua Vinte e Quatro de Maio 35 8º Andar,,República,8966,26
1042000,Rua Barão de Itapetininga,- lado par,República,8966,26
1042001,Rua Barão de Itapetininga,- lado ímpar,República,8966,26
1042010,Rua Nova Barão,,República,8966,26
